endpoint_row,sample,foot,runtime_episode_id,physical_episode_id,normal_score,early_score,actionable_score,active_score,foot_score,proposal_score,persistence_count,valid_mask,prefall_mask,loaded_mask,touchdown_mask,candidate_id,evaluation_scope,run_id,fold,config_id,normal_contact_episode_fp,too_early,invalid,post_fall,AIR,touchdown,attribution_reason
27,469,0,7,7,0.0006217595160326857,3.6480549601943305e-06,0.997269374782505,0.0021052176465021703,0.9675463565122142,0.9171227654541139,3,True,True,True,False,F1_seed_202608242,POOLED_OOF,ice_native_0p15_v00,0,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,False,False,False,False,False,False,VALID_STABLE_OUTPUT
140,1599,0,38,37,0.02085468865543079,0.0029330834708303642,0.9734690511694292,0.00274317670430961,0.9196687651123574,0.9694090970139065,3,True,True,True,False,F1_seed_202608242,POOLED_OOF,ice_native_0p15_v00,0,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,False,False,False,False,False,False,VALID_STABLE_OUTPUT
28,479,0,5,6,0.0009213607245672146,1.0528321516919186e-07,0.9990544318593763,2.4102132841481756e-05,0.9740204782555687,0.9000258555704604,3,True,True,True,False,F1_seed_202608242,POOLED_OOF,ice_native_0p20_v00,0,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,False,False,False,False,False,False,VALID_STABLE_OUTPUT
183,2029,0,54,50,6.579404024000557e-05,0.0011125664616450722,0.9964704663648406,0.0023511731332743896,0.9998711628468346,0.8855123206761703,3,True,True,True,False,F1_seed_202608242,POOLED_OOF,ice_native_0p10_v01,1,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,False,False,False,False,False,False,VALID_STABLE_OUTPUT
207,2269,1,58,56,0.0014772716888832287,1.2225532623784744e-09,0.9983728417391008,0.00014988534946257427,0.9742615182549929,0.9846722125362825,3,True,True,True,False,F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,False,False,False,False,False,False,VALID_STABLE_OUTPUT
212,2319,1,59,57,0.00013780973861229366,6.987527703407063e-05,0.876243617984246,0.12354869700010747,0.9854041944677848,0.9027103111064647,3,True,True,True,False,F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,True,False,False,False,False,False,NORMAL_CONTACT_EPISODE_FP
182,2019,0,30,24,0.00742720236315637,0.0001905166561327467,0.992230161998551,0.0001521189821598616,0.9902871186152487,0.9673946218578542,3,True,True,True,False,F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,False,False,False,False,False,False,VALID_STABLE_OUTPUT
161,1809,0,2,2,4.651269274685188e-05,0.10648079238837743,0.8929895755017999,0.00048311941707582663,0.9967815014138889,0.9372291647393146,3,True,True,True,False,F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,2,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,False,False,False,False,False,False,VALID_STABLE_OUTPUT
99,1189,0,1,1,3.1022512630871206e-05,0.024468647130998195,0.9731991765420396,0.0023011538143312767,0.9989600700816624,0.951391982301166,3,True,True,True,False,F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p20_v02,2,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,False,False,False,False,False,False,VALID_STABLE_OUTPUT
99,1189,0,1,1,3.518847740873907e-05,0.03167620745315042,0.9665282394142385,0.0017603646552023684,0.9988018071192732,0.9469489569110682,3,True,True,True,False,F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p20_v02,2,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,False,False,False,False,False,False,VALID_STABLE_OUTPUT
